Description	Target	Measure	E11	E10	E011
[saltires = 1.0]	[red, blue, orange]	0.3260090384916245	7.0	11.0	6.0
[crosses = 1.0], [saltires = 1.0], [sunstars = 0.0]	[red, orange]	0.1919666145049259	5.0	3.0	14.0
[1.0 <= quarters <= 4.0]	[green, yellow, orange]	0.18208844295803128	6.0	20.0	7.0
[1.0 <= crosses <= 2.0], [0.0 <= sunstars <= 7.0]	[yellow, orange]	0.15645933014376698	6.0	19.0	9.0
[5.0 <= sunstars <= 50.0]	[green, black, orange]	0.05483405483404405	1.0	16.0	3.0
[saltires = 0.0], [1.0 <= sunstars <= 50.0]	[green, black]	0.05363580410173535	16.0	57.0	13.0
[crosses = 0.0], [saltires = 0.0], [quarters = 0.0], [2.0 <= sunstars <= 50.0]	[yellow, black, orange]	0.04655248133508043	1.0	18.0	3.0
[saltires = 0.0], [quarters = 0.0]	[red, black]	0.03571428571630686	44.0	120.0	2.0
[saltires = 1.0], [1.0 <= sunstars <= 50.0]	[red, yellow, black]	0.0	0.0	7.0	30.0
[crosses = 0.0], [saltires = 0.0], [quarters = 1.0]	[yellow, orange]	0.0	0.0	9.0	15.0
[saltires = 0.0], [quarters = 0.0], [3.0 <= sunstars <= 5.0]	[yellow, orange]	0.0	0.0	9.0	15.0
[crosses = 1.0], [saltires = 0.0], [0.0 <= sunstars <= 4.0]	[red, orange]	0.0	0.0	11.0	19.0
[crosses = 0.0], [sunstars = 5.0]	[green, orange]	0.0	0.0	6.0	20.0
[quarters = 1.0], [5.0 <= sunstars <= 50.0]	[orange]	0.0	0.0	7.0	26.0
[crosses = 0.0], [0.0 <= quarters <= 1.0], [2.0 <= sunstars <= 3.0]	[red, black, orange]	0.0	0.0	7.0	6.0
[saltires = 0.0], [1.0 <= quarters <= 4.0], [0.0 <= sunstars <= 4.0]	[red, black]	0.0	0.0	9.0	46.0
[0.0 <= crosses <= 1.0], [9.0 <= sunstars <= 50.0]	[blue, orange]	0.0	0.0	6.0	16.0
[saltires = 0.0], [0.0 <= quarters <= 1.0], [6.0 <= sunstars <= 50.0]	[green, orange]	-0.11284181377400938	1.0	6.0	19.0
[1.0 <= quarters <= 4.0], [sunstars = 0.0]	[black]	-0.3582480965451024	2.0	8.0	50.0
[0.0 <= quarters <= 1.0], [3.0 <= sunstars <= 4.0]	[green, white]	-0.37598663762442447	4.0	3.0	59.0
